item_id,user_id,rating,timestamp,title,brand,category,description
1858705223,A45979GJRPS5Y,1,1424736000,Apocalyptic Love: UK Fan Pack Edition,Slash,"['CDs & Vinyl', 'Rock']","[""Limited Fan Pack Edition includes the top-hatted guitar hero's brilliant 2012 album Apocalyptic Love plus a 132-page magazine dedicated to every aspect of how this unique album was written and recorded. Also included are two bonus tracks; Carolina and Crazy Life. The Fan Pack magazine is 100% Slash-approved and contains major exclusive new interviews with Slash, Myles Kennedy and every member of the band, plus producer Eric Valentine and album sleeve designer, Frank Maddox. This album is Slash's second as a solo artist and the second time the legendary former Guns N' Roses and Velvet Revolver guitarist has released an album with Classic Rock in Fan Pack form. The magazine is also packed with a wealth of rare shots of Slash and his band in action and also includes an official die-cast metal Slash pin badge and a giant poster. A must for all Slash fans. * Please note, the cardboard package that all these goodies are housed in will likely be split and/or torn in places due to the flimsy nature of the cardboard. All the contents will be 100% mint though.""]"
1858705223,A2BJAET1P9QUGZ,1,1338681600,Apocalyptic Love: UK Fan Pack Edition,Slash,"['CDs & Vinyl', 'Rock']","[""Limited Fan Pack Edition includes the top-hatted guitar hero's brilliant 2012 album Apocalyptic Love plus a 132-page magazine dedicated to every aspect of how this unique album was written and recorded. Also included are two bonus tracks; Carolina and Crazy Life. The Fan Pack magazine is 100% Slash-approved and contains major exclusive new interviews with Slash, Myles Kennedy and every member of the band, plus producer Eric Valentine and album sleeve designer, Frank Maddox. This album is Slash's second as a solo artist and the second time the legendary former Guns N' Roses and Velvet Revolver guitarist has released an album with Classic Rock in Fan Pack form. The magazine is also packed with a wealth of rare shots of Slash and his band in action and also includes an official die-cast metal Slash pin badge and a giant poster. A must for all Slash fans. * Please note, the cardboard package that all these goodies are housed in will likely be split and/or torn in places due to the flimsy nature of the cardboard. All the contents will be 100% mint though.""]"
5559550833,A26P2849EZKMJ2,1,1424736000,Retrospective Hybrid,Eric Burdon,"['CDs & Vinyl', 'Pop']",[]
5559550833,A3UNGC700SNYHL,1,1187827200,Retrospective Hybrid,Eric Burdon,"['CDs & Vinyl', 'Pop']",[]
6305131961,AQ8DU6XVA3USJ,1,962323200,Supernatural,Dc Talk              Cdchmg        46526B,"['CDs & Vinyl', 'Rock', 'Blues Rock']",['SUPERNATURAL BY SANTANA']
6305484554,A2FIHHDKKEYT0Z,0,982368000,Rebel Yell,Billy           Cdcap          20695 Idol,"['CDs & Vinyl', 'Alternative Rock', 'Hardcore & Punk']","['Track Listing\n1. Rebel Yell\n2. Daytime Drama\n3. Eyes Without A Face\n4. Blue Highway\n5. Flesh For Fantasy\n6. Catch My Fall\n7. Crank Call\n8. Stand In The Shadows, (Do Not)\n9. Dead Next Door, The']"
B0000004VW,A21O4CYGAB6GB6,1,1453248000,Billy Ocean's Greatest Hits,Billy Ocean,"['CDs & Vinyl', 'Dance & Electronic', 'Disco']",['CD']
B0000009SF,A3QHIH7C3H81EH,0,1071187200,The Grand Wazoo,Frank Zappa,"['CDs & Vinyl', 'Jazz', 'Swing Jazz', 'Contemporary Big Band']","['Mostly instrumental 1972 big band Jazzy sequel to Waka Jawaka/Hot Rats. Complex, and great!!', 'This 1972 album continues the mostly-instrumental, jazz-rock thread of Zappa\'s work, which began with HOT RATS and continued with WAKA/JAWAKA. It\'s a big-band setting this time, with lots of improvisation, with big brass, woodwind and percussion sections. Sal Marquez, in particular, shines on trumpet. Zappa-philes will also recognize names like Aynsley Dunbar, Don Preston and George Duke. <P> The five lengthy tracks include the witty ""Cletus Awreetus-Awrightus,"" the intricate title track, the rock-edged ""For Calvin (And His Next Two Hitch-Hikers),"" and the more lyrical ""Blessed Relief."" Packaging includes a Zappa narrative that gives these tracks their conceptual continuity. Zappa was temporarily giving his satirical side a breather (it would return in due time on OVER-NITE SENSATION) and making some of his more ambitious, if often overlooked, instrumental work.']"
B0000009RE,A255E1L105V4MU,0,1179705600,Unfinished Music 1: Two Virgins,Yoko Ono,"['CDs & Vinyl', 'Rock', 'Progressive', 'Progressive Rock']","['This CD is an out of print collectible! It is the original 1997 release. Full frontal cover with faux grocery bag sleeve over CD.', '<I>Two Virgins</I> is still best known for its notorious cover photo of John and Yoko posing naked and unashamed. It\'s also remembered as a historical artifact: it was recorded overnight in Lennon\'s mansion, before the couple consummated their relationship. But few have heard the record and fewer still have played it twice. Essentially, it\'s the <a href=""/exec/obidos/ASIN/B000002UAX/${0}"">White Album</a>\'s ""Revolution 9"" stretched into a whole record of white noise, tape effects, discord, and screaming. The follow up, <I><a href=""/exec/obidos/ASIN/B0000009RF/${0}"">Life with the Lions</a></I>, was more interesting musically, but <I>Two Virgins</I> is the sound that first made the world say: ""What?"" <I>--Taylor Parkes</I>']"
B0000009SG,A3QHIH7C3H81EH,1,1071187200,Over-Nite Sensation,Frank Zappa,"['CDs & Vinyl', 'Rock', 'Progressive', 'Progressive Rock']","['Frank Zappa Over-Nite Sensation US CD album', ""Best known for the infamous &quot;Dinah-Mo-Hum&quot;--a tale of sexual depravity and bovine perspiration--<i>Over-Nite Sensation</i> is a flawlessly executed collection of jazz-rock Frank Zappa classics. The seven-song set, which includes backup vocals by Tina Turner and the Ikettes, equally showcases Zappa's unique penchant for storytelling and the abilities of his studio-musician sidemen. Zappa's guitar work is also some of his finest, flaring up on &quot;I'm the Slime,&quot; &quot;Zomby Woof&quot; and &quot;Montana.&quot; <i>--Andrew Boscardin</i>""]"
